slug,name,image,description,play_url,link
leader-strike,LEADER STRIKE,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/leader-strike.jpg,"Game Controls (aka) How To play:  WASD and ARROW keys for playing
Quick Summary of the Game: Immerse yourself in the hilariously intense world of Leader Strike, a standout 3D FPS game! Engage in brutal multiplayer team deathmatches, where you select iconic global leaders like Angela Merkel, Donald Trump, Barack Obama, Vladimir Putin, Kim Jong Un, and more. Pick a side – Team Blue or Team Black – and strive to eliminate rival world presidents. It’s a fierce battle for global dominance, and you’re at the helm. Who will emerge victorious and govern the globe? The choice is yours in this uproarious and competitive gaming experience!",https://unblocked-games-g-plus.poki2.online/play/leader-strike.html,https://sites.google.com/view/unblocked-games-g-site/leader-strike
lol-shot-io,LOL SHOT IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/lol-shot-io.jpg,"Game Controls (aka) How To play:  WASD or ARROW keys for moving. MOUSE aim and shoot
Quick Summary of the Game: LOLShot.io offers an exhilarating, free-to-play multiplayer .io FPS experience that requires no downloads. Dive into intense, skill-based first-person shooter battles with friends using a simple invite link. Engage in aerial combat, earn points for jaw-dropping combos, including yeeting rivals out of the arena, executing mid-air kills, and strategically teleporting through portals to surprise opponents. In the heart-pounding world of LOLShot.io, master 8 unique weapons as you dash and soar across vibrant arenas, competing in deathmatch mode against up to 16 players. Brace yourself for a dynamic, fast-paced gaming adventure filled with thrilling maneuvers and non-stop action.",https://unblocked-games-g-plus.poki2.online/play/lol-shot-io.html,https://sites.google.com/view/unblocked-games-g-site/lol-shot-io
lurkers-io,LURKERS IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/lurkers-io.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Lurkers.io immerses you in a gripping zombie survival experience, challenging you to gather resources, acquire weapons, and endure the relentless apocalypse. Venture into the randomly generated open world in Survival mode, granting you freedom to shape your destiny. Engage in intense Bedwars battles, experience the thrill of Team Deathmatch, or unleash your creativity in the Sandbox mode, where all items are at your disposal. Navigate through the chaos, fortify your position, and strategize for survival. Lurkers.io offers diverse gameplay modes, ensuring an adrenaline-pumping adventure with every session. Are you ready to face the challenges and emerge victorious in this post-apocalyptic world?",https://unblocked-games-g-plus.poki2.online/play/lurkers-io.html,https://sites.google.com/view/unblocked-games-g-site/lurkers-io
mad-gunz,MAD GUNZ,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/mad-gunz.jpg,"Game Controls (aka) How To play:  WASD - Move
Mouse - Camera control
Mouse click - Shoot
1, 2, 3, 4, 5 - Change weapon
Quick Summary of the Game: Mad GunZ, an exhilarating first-person shooter by Mad Pixel, immerses players in a pixelated battleground for an epic battle royale experience. Prepare for the ultimate showdown in the online arena, armed with a diverse arsenal and easy-to-master controls. As you navigate through this crazy pixelated world, swiftly eliminate foes with any weapon you stumble upon. Stay alive longer by unlocking an array of armor and gear, striving to emerge as the sole survivor in the chaos of Mad GunZ. It’s a thrilling adventure where quick reflexes and strategic choices determine your fate in this action-packed pixelated universe.",https://unblocked-games-g-plus.poki2.online/play/mad-gunz.html,https://sites.google.com/view/unblocked-games-g-site/mad-gunz
masked-forces,MASKED FORCES,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/masked-forces.jpg,"Game Controls (aka) How To play:  Use ARROW keys to move. MOUSE: aim and shoot
Quick Summary of the Game: Embark on stealthy incursions in Masked Forces, an adrenaline-pumping FPS browser game. Navigate perilous single-player and multiplayer campaigns, strategically infiltrating enemy territory for survival. Arm yourself with a formidable arsenal featuring the Deagle, SMG, Minigun, and Slugger weapons. Boost your chances of survival by donning the protective Hellhound armor set and the ominous Cataclysm mask. Engage in intense battles, where every move could be the difference between victory and defeat. Will you emerge victorious from the shadows or succumb to the chaos? It’s time to test your skills and strategies in this gripping masked warfare experience.",https://unblocked-games-g-plus.poki2.online/play/masked-forces.html,https://sites.google.com/view/unblocked-games-g-site/masked-forces
merc-zone,MERC ZONE,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/merc-zone.jpg,"Game Controls (aka) How To play:  WASD moving MOUSE: aim and shoot
Quick Summary of the Game: Merc Zone is first person online multiplayer shooter created by Blue Wizard Digital.  Game features intense gameplay, a variety of weapons, and diverse map designs. Players can engage in quick-fire battles or engage in strategic planning to take out the enemy players. Unlock all the game features and have fun playing this cool browser shooter game.",https://unblocked-games-g-plus.poki2.online/play/merc-zone.html,https://sites.google.com/view/unblocked-games-g-site/merc-zone
pixel-gun-3d,PIXEL GUN 3D,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/pixel-gun-3d.jpg,"Game Controls (aka) How To play:  WASD for moving MOUSE: aim and shoot
Quick Summary of the Game: PIXEL GUN 3D is a multiplayer online shooter game where players battle it out in various game modes with pixelated weapons and characters. The game offers a variety of maps and game modes including team battle, deathmatch, capture the flag, and more. Players can also customize their character with different skins and accessories.",https://unblocked-games-g-plus.poki2.online/play/pixel-gun-3d.html,https://sites.google.com/view/unblocked-games-g-site/pixel-gun-3d
pixel-smash-duel,PIXEL SMASH DUEL,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/pixel-smash-duel.jpg,"Game Controls (aka) How To play:  Player 1
W or E = jump dodge, release to shoot
Player 2
Up arrow key or M = jump dodge, release to shoot
Quick Summary of the Game: Step into the vibrant world of Pixel Smash Duel, a thrilling platform showdown where strategy meets pixelated mayhem. Engage in fierce battles against friends or the cunning CPU, armed with an arsenal of weapons to strategically knock opponents off the platform. With pixelated precision, navigate the arena, strategically deploying your arsenal to outwit your rivals. Victory awaits the first to claim 5 wins. Prepare for a pixel-packed, adrenaline-fueled experience that combines cunning tactics with pixelated chaos, offering endless fun in every smashing duel!",https://unblocked-games-g-plus.poki2.online/play/pixel-smash-duel.html,https://sites.google.com/view/unblocked-games-g-site/pixel-smash-duel
repuls,REPULS,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/repuls.jpg,"Game Controls (aka) How To play:  [WASD] Move
[1] Change Weapons
[2] Use Grenades
[R] Reload
[Right Mouse] Aim Rifles
[Q] Strike with Weapon
[SPACEBAR] Jump
[E] Use/Pick up items/weapons
Quick Summary of the Game: Repuls.io is SCIFI Battlefield FPS online browser game, become mankind’s first fully augmented super soldier.
Battle online against other players in real time using a variety of weapons, vehicles and equipment.",https://unblocked-games-g-plus.poki2.online/play/repuls.html,https://sites.google.com/view/unblocked-games-g-site/repuls
rooftop-snipers-2,ROOFTOP SNIPERS 2,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/rooftop-snipers-2.jpg,"Game Controls (aka) How To play:  Game controls are shown in game before start.
Quick Summary of the Game: Rooftop Snipers 2 is a thrilling online game that puts two players against each other in a fast-paced shooting match on a rooftop. The gameplay is simple but highly addictive, and the retro-style graphics add to the game’s charm. The physics-based mechanics make for a fun and unpredictable experience, with players having to adjust their shots to compensate for the game’s quirky physics. Play the game with friends in school and have fun.",https://unblocked-games-g-plus.poki2.online/play/rooftop-snipers-2.html,https://sites.google.com/view/unblocked-games-g-site/rooftop-snipers-2
rooftop-snipers,ROOFTOP SNIPERS,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/rooftop-snipers.jpg,"Game Controls (aka) How To play:  Keyboard and mouse for playing.
Quick Summary of the Game: ROOFTOP SNIPERS is a thrilling online game that puts you in the shoes of a sniper on a rooftop. The objective is to shoot down your opponent before they shoot you. The gameplay is fast-paced and challenging, and you’ll need to be quick on your feet to win. The graphics are simple but effective, and the sound effects add to the tension of the game. It’s a great game to play with friends or on your own, and it’s sure to keep you entertained for hours.",https://unblocked-games-g-plus.poki2.online/play/rooftop-snipers.html,https://sites.google.com/view/unblocked-games-g-site/rooftop-snipers
skillfite-io,SKILLFITE IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/skillfite-io.jpg,"Game Controls (aka) How To play:  WASD = move
E = craft
Click the left mouse button = interact
Hold the left mouse button = aim
Space / the right mouse button = dash
Scroll wheel = zoom in / zoom out
Quick Summary of the Game: SkillFite.io offers an immersive MMO adventure where players unite to collect resources, forge gear, and engage in thrilling battles for dominance! This compact MMO, SkillFite.io, caters to those seeking the joy of crafting, combat, and RPGMMO elements without committing to lengthy gaming sessions. Boasting dynamic PvP and PvE experiences, SkillFite.io empowers players to tailor their journey—whether engaging in fierce player clashes or pursuing solo endeavors.",https://unblocked-games-g-plus.poki2.online/play/skillfite-io.html,https://sites.google.com/view/unblocked-games-g-site/skillfite-io
sniper-shot-bullet-time,SNIPER SHOT BULLET TIME,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/sniper-shot-bullet-time.jpg,"Game Controls (aka) How To play:  WASD or arrow keys = move
Right-click = aim
Left-click = shoot
Scroll = zoom in / out
Space = jump
Quick Summary of the Game: Step into the adrenaline-fueled world of Sniper Shot: Bullet Time, where precision meets chaos in a symphony of bullets and strategy. Pick up your sniper rifle, feel the weight of power in your hands, and delve into the heart-pounding action. As you take aim, time slows, allowing you to savor the exhilarating moments before unleashing a devastating shot. Explore the art of strategic positioning, or leap into the fray for close-quarters mayhem. Experience the rush of being the ultimate marksman, orchestrating your own spectacular ballet of destruction.",https://unblocked-games-g-plus.poki2.online/play/sniper-shot-bullet-time.html,https://sites.google.com/view/unblocked-games-g-site/sniper-shot-bullet-time
superhot,SUPERHOT,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/superhot.jpg,"Game Controls (aka) How To play:  WASD: move MOUSE: aim and shoot
Quick Summary of the Game: SuperHot redefines the FPS experience with its groundbreaking concept: time only progresses when you move. This innovative twist adds unparalleled suspense and intensity to the game, setting it apart from any other first-person shooter. Immerse yourself in a world where every moment is crucial, requiring strategic thinking and split-second decision-making. SuperHot delivers a thrilling combination of action and strategy as you navigate through a visually striking environment, shattering enemies with each calculated move. Step into the adrenaline-pumping gameplay, where time bends to your actions, making every encounter a pulse-pounding challenge. Are you ready to redefine the rules of engagement?",https://unblocked-games-g-plus.poki2.online/play/superhot.html,https://sites.google.com/view/unblocked-games-g-site/superhot
time-shooter-2,TIME SHOOTER 2,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/time-shooter-2.jpg,"Game Controls (aka) How To play:  WASD or arrow keys = move
Left-click = shoot / pick up weapon
Right-click or R = throw weapon
Quick Summary of the Game: Dive into the pulse-pounding world of Time Shooter 2, a first-person shooter where every second counts. Your journey begins as you step into the time-frozen battleground, where the clock ticks only when you move. Craft your strategy, defying the laws of time to outsmart enemies in thrilling slow-motion encounters. Navigate the dynamic maps, utilizing time manipulation to seize victory. Arm yourself wisely, as anything becomes a lethal tool. Engage in the exhilarating challenge, unlocking unique advantages through brief ads. Experience the intense, strategic gameplay reminiscent of SuperHot, keeping you on the edge with every shot.",https://unblocked-games-g-plus.poki2.online/play/time-shooter-2.html,https://sites.google.com/view/unblocked-games-g-site/time-shooter-2
time-shooter-3-swat,TIME SHOOTER 3 SWAT,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/time-shooter-3-swat.jpg,"Game Controls (aka) How To play:  WASD or ARROW keys for moving. MOUSE: aim and shoot
Quick Summary of the Game: Time Shooter 3 SWAT is a super cool online game that puts you in the shoes of a SWAT officer, tasked with taking out enemies and completing missions. Beware your movement effects time so you need to carefully plan your missions to eliminate enemies.",https://unblocked-games-g-plus.poki2.online/play/time-shooter-3-swat.html,https://sites.google.com/view/unblocked-games-g-site/time-shooter-3-swat
venge-io,VENGE IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/venge-io.jpg,"Game Controls (aka) How To play:  WASD or ARROW controls for moving. MOUSE: aim and shoot
Quick Summary of the Game: Venge.io is an online first-person shooter game where players engage in fast-paced battles against each other. The game features a variety of weapons, maps, and game modes, allowing players to customize their experience. With simple controls and quick matchmaking, players can jump into intense matches easily. Play the game for free without download and show your fps skills.",https://unblocked-games-g-plus.poki2.online/play/venge-io.html,https://sites.google.com/view/unblocked-games-g-site/venge-io
war-brokers-io,WAR BROKERS IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/war-brokers-io.jpg,"Game Controls (aka) How To play:  WASD or ARROW keys moving. Other controls are shown in-game.
Quick Summary of the Game: War Brokers io is crazy fun FPS Battle Royale shooter in which you are spawned in game arena and your task is to be the last man standing. Improve your chances of survival collecting and choosing proper weapon loadout. Test your combat skills in this fun action game and impress your friends.",https://unblocked-games-g-plus.poki2.online/play/war-brokers-io.html,https://sites.google.com/view/unblocked-games-g-site/war-brokers-io
zombie-shooter-2d,ZOMBIE SHOOTER 2D,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/zombie-shooter-2d.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Step into the adrenaline-pumping chaos of Zombie Shooter 2D, where every level is a tactical showdown against relentless undead hordes. Armed with an arsenal of weapons, you’ll navigate through intricately designed environments, strategizing your moves to exterminate zombies and survive. Each level presents a unique physics challenge, demanding precision and quick thinking. Unleash your inner marksman, conquer diverse landscapes, and revel in the satisfaction of obliterating waves of zombies. It’s not just survival; it’s a thrilling journey through a world teeming with undead adversaries. Are you ready to face the 2D apocalypse?",https://unblocked-games-g-plus.poki2.online/play/zombie-shooter-2d.html,https://sites.google.com/view/unblocked-games-g-site/zombie-shooter-2d
