slug,name,image,description,play_url,link
idle-light-city,IDLE LIGHT CITY,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/idle-light-city.jpg,"Game Controls (aka) How To play:  Play the game on 66GAMES with mouse.
Quick Summary of the Game: Step into the captivating world of Idle Light City, a brilliantly crafted management game by NoPowerup. Dive into the challenge of bringing radiance to a city cloaked in shadows. Take charge of a bustling lightbulb factory, where your goal is to flood the town with luminosity. Begin with a modest building, progressively unlocking new structures to illuminate. Enhance your revenue with strategic power-ups, upgrades, and accelerated lightbulb production. Engage with the game at your convenience, hastening the glow or entrust the city to its gradual revival. Embrace the endearing citizens, as you emerge as the beacon of their salvation. Can you illuminate an entire town?",https://unblocked-games-g-plus.poki2.online/play/idle-light-city.html,https://sites.google.com/view/unblocked-games-g-site/idle-light-city
idle-mining-empire,IDLE MINING EMPIRE,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/idle-mining-empire.jpg,"Game Controls (aka) How To play:  Clicker game is played with mouse.
Quick Summary of the Game: Embark on a captivating journey as Idle Mining Empire thrusts you into the thrilling world of mining entrepreneurship. Begin with humble operations and ascend to become the mastermind behind a lucrative, fully automated mining empire. Your journey begins with a simple click, setting your diligent worker in motion to extract precious resources. Elevate your success by transporting rocks efficiently and watch profits soar. Delve deeper into the game to unearth lucrative mine shafts, unlocking a cascade of wealth. Unleash the mining magnate within and sculpt your empire!",https://unblocked-games-g-plus.poki2.online/play/idle-mining-empire.html,https://sites.google.com/view/unblocked-games-g-site/idle-mining-empire
idle-restaurants,IDLE RESTAURANTS,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/idle-restaurants.jpg,"Game Controls (aka) How To play:  Mouse for playing.
Quick Summary of the Game: Welcome to the thrilling world of Idle Restaurants! Dive into the role of a savvy tycoon manager and turn your culinary dreams into a sizzling reality. Your mission, should you choose to accept it, is to master the art of restaurant management. Craft a winning strategy to rake in profits, spice up your eateries with lavish renovations, and whip up delectable dishes to build your gastronomic empire. Are you ready to don the chef’s hat and carve out your place in the Idle Restaurants hall of fame? The journey to culinary greatness begins now",https://unblocked-games-g-plus.poki2.online/play/idle-restaurants.html,https://sites.google.com/view/unblocked-games-g-site/idle-restaurants
idle-tree-city,IDLE TREE CITY,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/idle-tree-city.jpg,"Game Controls (aka) How To play:  Use mouse to interact with the game.
Quick Summary of the Game: Dive into the enchanting world of Idle Tree City, a whimsical simulation crafted by NoPowerup. Your mission? Nurture adorable trees into crafting splendid wooden abodes. Stack that green, make wise purchases, and turbocharge your tree production to erect an entire arboreal metropolis! Will you be the visionary behind the lushest tree city on the planet? Engage with the game by tapping or left-clicking on land, objects, or workers. Plant your arboreal wonders on empty tiles, and let the verdant adventure unfold!",https://unblocked-games-g-plus.poki2.online/play/idle-tree-city.html,https://sites.google.com/view/unblocked-games-g-site/idle-tree-city
merge-harvest,MERGE HARVEST,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/merge-harvest.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Dive into the vibrant world of Merge Harvest, where creativity meets strategy! This captivating merging game invites you to discover a plethora of unique items through ingenious combinations. Accomplish diverse tasks and unravel an engaging storyline as you collect materials for building repairs. Cultivate a fruitful harvest of vegetables and fruits to concoct delicious meals. Elevate your game by upgrading buildings for enhanced production speed and expanding your storage for lucrative bonus slots. Unearth rare items, unlock chests for energy, and amass coins in this thrilling journey of resourceful fusion!",https://unblocked-games-g-plus.poki2.online/play/merge-harvest.html,https://sites.google.com/view/unblocked-games-g-site/merge-harvest
minecraft-classic,MINECRAFT CLASSIC,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/minecraft-classic.jpg,"Game Controls (aka) How To play:  Game is played with KEYBOARD and MOUSE.
Quick Summary of the Game: Minecraft Classic is a timeless game that allows players to build and explore their own virtual world. Its blocky graphics and retro feel add to the charm of the game. The possibilities are endless as players can create anything from simple structures to entire cities. The gameplay is easy to learn, yet challenging to master, keeping players engaged for hours on end. With no set objectives, Minecraft Classic allows players to play at their own pace and create their own adventure.",https://unblocked-games-g-plus.poki2.online/play/minecraft-classic.html,https://sites.google.com/view/unblocked-games-g-site/minecraft-classic
monkey-mart,MONKEY MART,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/monkey-mart.jpg,"Game Controls (aka) How To play:  Game is played with WASD or ARROW keys and mouse.
Quick Summary of the Game: Welcome to Monkey Mart, the thrilling online browser game that will swing you into a wild shopping frenzy! Immerse yourself in an extraordinary gaming experience, where you’ll take on the role of a savvy monkey shopper navigating through a vibrant virtual marketplace. As you explore the game’s lush graphics and intuitive interface, prepare to be captivated by the seamless blend of strategy and entertainment.",https://unblocked-games-g-plus.poki2.online/play/monkey-mart.html,https://sites.google.com/view/unblocked-games-g-site/monkey-mart
poop-clicker-3,POOP CLICKER 3,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/poop-clicker-3.jpg,"Game Controls (aka) How To play:  Play the game with your mouse.
Quick Summary of the Game: Dive into the quirky world of Poop Clicker 3, a wildly popular online strategy game where your mission is to generate copious amounts of poop to meet the world’s demands. Simply hit the colossal play button to kick off your fecal empire. Use your hard-earned cash to acquire upgrades and cutting-edge toilets, enhancing your poop production capabilities. Progress through levels, unlocking an array of compost and manure upgrades, and compete for high scores against both yourself and fellow players. Are you ready to conquer the challenge and become the ultimate poop tycoon? Let the game begin!",https://unblocked-games-g-plus.poki2.online/play/poop-clicker-3.html,https://sites.google.com/view/unblocked-games-g-site/poop-clicker-3
pou,POU,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/pou.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Step into the whimsical world of Pou, where you adopt a lovable extraterrestrial friend. Nourish Pou’s growth by pampering them with delightful treats, bubbly baths, and a wardrobe brimming with trendy outfits. Engage in a collection of entertaining mini-games like hill drive, sky hop, water hop, jet Pou, and food drop, ensuring endless giggles for both you and Pou. Venture outdoors for even more playtime, completing daily tasks to unlock new levels of excitement. With Pou, every day is a journey of joy and discovery in this charming digital pet escapade.",https://unblocked-games-g-plus.poki2.online/play/pou.html,https://sites.google.com/view/unblocked-games-g-site/pou
save-the-doge,SAVE THE DOGE,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/save-the-doge.jpg,"Game Controls (aka) How To play:  Mouse for playing.
Quick Summary of the Game: Dive into the captivating world of Save The Doge, a delightful and challenging puzzle adventure. Your mission: safeguard the adorable pup from a relentless swarm of angry bees! Grab your trusty pencil and sketch ingenious shields, shielding our furry friend from perilous spikes, volcanic lava, and treacherous ocean depths during the bee onslaught. With 50 thrilling levels, each promising a riveting experience, brace yourself for escalating challenges. Enjoy a leisurely afternoon unraveling the intricate physics-based puzzles, but beware – complacency might be your greatest foe. Best of luck in this whimsical canine rescue quest!",https://unblocked-games-g-plus.poki2.online/play/save-the-doge.html,https://sites.google.com/view/unblocked-games-g-site/save-the-doge
super-hexbee-merger,SUPER HEXBEE MERGER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/super-hexbee-merger.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Embark on a vibrant journey with Super Hexbee Merger, a captivating puzzle where you initiate a colorful hexagonal dance. As you start, strategically position hexagon sets on the grid, weaving connections of brilliant hues to amass points. Your challenge: fuse three distinct colors and unveil elusive “merger” hexagons. Navigate with finesse, but beware the encroaching grid limits. This addictive puzzle beckons your skillful touch—will you conquer the challenge and emerge victorious? Dive into Super Hexbee Merger and unveil the thrilling world of hexagonal mastery!",https://unblocked-games-g-plus.poki2.online/play/super-hexbee-merger.html,https://sites.google.com/view/unblocked-games-g-site/super-hexbee-merger
tube-clicker,TUBE CLICKER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/tube-clicker.jpg,"Game Controls (aka) How To play:  Use mouse for playing.
Quick Summary of the Game: Dive into the thrilling world of Tube Clicker, where your journey to YouTube stardom awaits! Kickstart your rise to fame by interacting with your video player, raking in views and cash. As your earnings grow, amplify your success with strategic advertising investments. Keep the momentum rolling by continually enhancing your tools and unlocking fresh content. Unlocking new subscribers is the key to accessing advanced tools. Plus, surprise your audience with timely video uploads for instant boosts. Can you conquer the YouTube realm and emerge as the ultimate sensation? Unleash your Tube Clicker prowess now!",https://unblocked-games-g-plus.poki2.online/play/tube-clicker.html,https://sites.google.com/view/unblocked-games-g-site/tube-clicker
hexbee-merger,HEXBEE MERGER,https://unblocked-games-g-plus.poki2.online/assets/upload/busqueda/jpg/hexbee-merger.jpg,"Main Controls For Playing:  GAME IS PLAYED WITH MOUSE.
Brief Description About The Game:  Welcome to the buzzing world of HEXBEE MERGER! Are you ready to dive into a puzzle adventure like no other? Get ready to start your journey into the hexagonal wonderland, where colors come to life in a mesmerizing dance of strategy and fun.   As you step into the game, you’ll find yourself in a vibrant world filled with hexagons of different hues. Your mission, should you choose to accept it, is to connect three hexes of the same color and watch the magic unfold! The grid awaits your creative touch as you strategically place the hexagons to complete targets and unlock special “merger” hexagons that will take your gameplay to the next level.   But hold on, little explorer, the challenge is real! Don’t let the grid fill up, or your hexagonal adventure might come to an end. It’s a delicate balance of wits and quick thinking. Can you master the technique and arrange the hexes in perfect harmony?   Hexbee Merger is not just a game; it’s a journey of colors, patterns, and brain-teasing excitement. Challenge yourself and see if you have the skills to emerge victorious in this addictive puzzle quest!   And guess what? You can embark on this thrilling journey for free! That’s right, you heard it correctly. Head over to BUSQUEDA.me and experience the fast-paced world of Hexbee Merger without spending a penny. Play at lightning speed and challenge your friends to beat your high score. It’s not just a game; it’s a race against time!   So, young adventurer, are you up for the challenge? Grab your hexagons, unleash your creativity, and explore the world of Hexbee Merger like never before. The grid is waiting, and the hexagonal excitement is about to begin!",https://unblocked-games-g-plus.poki2.online/play/hexbee-merger.html,https://sites.google.com/view/unblocked-games-g-site/hexbee-merger
suika,SUIKA,https://unblocked-games-g-plus.poki2.online/assets/upload/busqueda/jpg/suika.jpg,"Main Controls For Playing:  GAME IS PLAYED ONLY WITH MOUSE.
Brief Description About The Game:  Get ready to dive into the juicy world of SUIKA! It’s not just a game; it’s a fruity adventure that will make your taste buds dance. Start your fruity journey and enter the realm where blueberries and watermelons collide in a spectacular mash-up!   In the magical land of SUIKA, you are the master of fruits. Your mission? Mash those juicy delights together and witness the incredible transformation from tiny, adorable blueberries to colossal, mouth-watering watermelons. But here’s the twist – you need to be quick and strategic because there’s a tricky little box waiting to overflow with fruity goodness!   Navigate through the fruity frenzy, where each level presents a new challenge. Can you conquer the fruit-filled puzzles and become the ultimate fruit maestro? It’s not just about squishing fruits; it’s about mastering the art of fruity fusion!   But that’s not all – imagine playing this sensational game at lightning speed! Thanks to BUSQUEDA.me, you can experience the thrill of SUIKA in fast-forward. Zip through the fruity landscapes, challenge your reflexes, and see if you can beat your own high score in record time. It’s a race against the clock, and only the quickest fruit mashers will emerge victorious!   And here’s the best part for all the little adventurers out there – you can embark on this fruity escapade absolutely free! No need to worry about coins or purchases; just jump into the world of SUIKA and let the fruity fun begin. It’s a playground of flavors, colors, and challenges that will keep you entertained for hours on end.   So, what are you waiting for? Grab your virtual fruit masher, dive into the world of SUIKA, and let the fruity magic unfold. Whether you’re a seasoned fruit master or a rookie in the fruity arts, SUIKA is the game that promises endless fun for kids of all ages. Get ready for a fruity fiesta that’s not just sweet but also a whole lot of seed-spittin’ fun!",https://unblocked-games-g-plus.poki2.online/play/suika.html,https://sites.google.com/view/unblocked-games-g-site/suika
